id,code,name,size_mm,min_animals_per_kg,max_animals_per_kg,notes,color
1,TP-500,TP-500,1,3400001,5000000,"",#6366f1
2,TP-180,TP-180,,42000001,100000000,"",#a78bfa
3,TP-200,TP-200,10,16000001,42000000,"Lunghezza Animale 1.0 mm, PesoGrPer1000 1000",#818cf8
4,TP-315,TP-315,,7600001,16000000,"",#60a5fa
5,TP-450,TP-450,,5000001,7600000,"",#2dd4bf
6,TP-600,TP-600,,1800001,3400000,"",#4ade80
7,TP-700,TP-700,,1500001,1800000,"",#a3e635
8,TP-800,TP-800,20,880001,1500000,"Lunghezza Animale 2.0 mm, PesoGrPer1000 2000",#facc15
9,TP-1000,TP-1000,,600001,880000,"",#fb923c
10,TP-1140,TP-1140,,350001,600000,"",#f87171
11,TP-1260,TP-1260,,300001,350000,"",#f472b6
12,TP-1500,TP-1500,30,190001,300000,"Lunghezza Animale 3.0 mm, PesoGrPer1000 3000",#e879f9
13,TP-1800,TP-1800,,120001,190000,"",#c084fc
14,TP-1900,TP-1900,,97001,120000,"",#93c5fd
15,TP-2000,TP-2000,,70001,97000,"",#67e8f9
16,TP-2200,TP-2200,,60001,70000,"",#86efac
17,TP-2500,TP-2500,,40001,60000,"",#fde047
18,TP-2800,TP-2800,,32001,40000,"",#fdba74
19,TP-3000,TP-3000,,19001,32000,"",#fca5a5
20,TP-3500,TP-3500,,12501,19000,"",#f9a8d4
21,TP-4000,TP-4000,,7501,12500,"",#d8b4fe
22,TP-5000,TP-5000,,3901,7500,"",#bfdbfe
23,TP-6000,TP-6000,,3001,3900,"",#a5f3fc
24,TP-7000,TP-7000,,2301,3000,"",#bbf7d0
25,TP-8000,TP-8000,,1801,2300,"",#fef08a
26,TP-9000,TP-9000,,1201,1800,"",#fed7aa
27,TP-10000,TP-10000,,801,1200,"",#fecaca
